athlete_id,skill_level,reaction_time,front_block_angle,rear_block_angle,front_knee_angle,rear_knee_angle,TBCG,RFmax,time_to_10m,time_to_20m,time_to_30m
86,Elite,0.128,44.9,55.4,93.6,128.4,44.7,0.62,1.58,3.01,3.84
87,Elite,0.162,50.9,63.6,91.1,138.3,46.1,0.57,1.5,2.89,3.76
88,Elite,0.144,49.6,62.0,91.9,127.2,41.7,0.62,1.5,2.8,3.73
89,Elite,0.146,53.3,59.7,91.9,131.6,49.9,0.56,1.7,2.8,3.8
90,Elite,0.163,47.1,56.0,92.3,132.6,42.3,0.55,1.64,2.98,3.8
91,Elite,0.162,41.8,59.9,92.1,120.3,49.4,0.58,1.5,2.8,3.82
92,Elite,0.179,50.7,59.7,99.6,133.3,46.5,0.6,1.63,2.8,3.77
93,Elite,0.128,51.4,56.7,92.7,123.6,46.1,0.64,1.5,2.8,3.79
94,Elite,0.126,48.4,59.3,95.2,139.2,45.1,0.62,1.5,2.8,3.83
95,Elite,0.163,51.6,59.0,103.5,123.0,42.3,0.62,1.5,2.8,3.74
96,Elite,0.155,47.4,61.2,97.1,128.3,41.8,0.59,1.5,2.8,3.76
97,Elite,0.136,47.8,61.4,100.0,121.7,42.2,0.58,1.59,2.96,3.77
98,Elite,0.125,46.4,55.5,92.6,139.9,41.9,0.59,1.5,3.0,3.84
99,Elite,0.125,40.4,58.7,92.9,130.0,47.8,0.65,1.57,2.94,3.87
100,Elite,0.174,41.6,61.3,90.6,131.9,43.5,0.55,1.5,2.98,3.79
101,Elite,0.132,40.5,60.0,92.5,121.3,40.6,0.64,1.67,2.8,3.78
102,Elite,0.139,49.5,63.6,94.2,135.0,49.7,0.61,1.5,2.8,3.81
103,Elite,0.134,44.7,61.6,92.7,124.2,48.8,0.59,1.68,2.8,3.83
104,Elite,0.141,47.6,56.6,91.3,138.0,49.3,0.62,1.63,2.96,3.85
105,Elite,0.124,53.6,55.7,91.8,124.1,49.9,0.6,1.65,2.87,3.82
106,Elite,0.151,43.7,61.4,96.9,123.8,41.7,0.64,1.61,2.8,3.76
107,Elite,0.124,46.2,55.3,93.1,120.7,44.0,0.64,1.5,2.8,3.81
108,Elite,0.168,51.3,60.9,95.5,129.4,47.6,0.59,1.53,2.93,3.76
109,Elite,0.134,43.4,64.4,97.6,131.3,47.0,0.58,1.5,2.8,3.83
110,Elite,0.152,41.2,60.8,100.4,121.3,41.5,0.61,1.5,2.8,3.79
111,Elite,0.173,44.3,58.9,90.6,135.5,48.2,0.64,1.5,2.8,3.81
112,Elite,0.159,42.4,61.4,102.0,129.1,42.2,0.57,1.69,2.8,3.8
113,Elite,0.152,53.9,59.6,99.4,130.5,42.2,0.61,1.5,2.91,3.74
114,Elite,0.139,52.1,60.5,91.2,128.8,45.4,0.61,1.5,2.92,3.76
115,Elite,0.14,49.5,64.4,103.1,128.0,45.9,0.62,1.5,2.8,3.77
116,Elite,0.16,53.1,58.9,103.8,131.2,45.8,0.56,1.72,2.82,3.79
117,Elite,0.18,52.1,64.6,90.9,123.1,40.9,0.62,1.5,2.8,3.7
118,Elite,0.16,42.8,64.1,94.2,123.6,48.8,0.64,1.5,2.8,3.78
119,Elite,0.153,53.4,57.0,102.1,137.2,42.7,0.57,1.5,2.92,3.79
120,Elite,0.164,48.1,55.7,101.2,138.9,41.3,0.57,1.67,2.8,3.81
121,Elite,0.148,52.1,56.0,92.8,127.5,48.9,0.65,1.5,2.84,3.79
122,Elite,0.124,53.4,55.2,93.1,125.4,49.6,0.57,1.66,2.8,3.84
123,Elite,0.154,44.8,55.9,95.6,132.9,48.6,0.64,1.68,2.8,3.85
124,Elite,0.177,41.7,61.8,97.3,128.2,48.1,0.6,1.5,2.8,3.81
125,Elite,0.131,43.4,55.7,99.3,120.5,46.6,0.57,1.67,2.8,3.87
126,Elite,0.161,46.4,58.2,95.5,123.1,45.5,0.64,1.57,2.8,3.78
127,Elite,0.132,52.3,63.4,96.9,134.3,40.9,0.59,1.75,2.8,3.75
128,Elite,0.152,52.9,55.2,101.2,133.2,44.1,0.6,1.5,2.8,3.8
129,Elite,0.126,40.1,63.1,90.6,120.5,43.7,0.59,1.5,2.86,3.81
130,Elite,0.147,47.7,57.8,93.8,124.4,42.6,0.61,1.5,2.97,3.77
131,Elite,0.165,46.3,56.2,100.7,124.6,47.2,0.57,1.5,2.89,3.83
132,Elite,0.141,43.3,62.0,103.4,133.4,45.0,0.59,1.72,2.93,3.84
133,Elite,0.16,41.8,61.3,97.7,120.4,40.8,0.65,1.5,2.8,3.75
134,Elite,0.168,45.1,63.8,98.0,122.1,42.2,0.58,1.5,2.8,3.74
135,Elite,0.176,54.1,62.4,91.6,136.0,46.8,0.62,1.64,2.8,3.72
136,Elite,0.134,44.8,63.0,96.7,123.6,40.8,0.58,1.5,2.96,3.77
137,Elite,0.144,47.8,57.8,98.0,133.1,48.5,0.63,1.5,2.8,3.84
138,Elite,0.129,50.5,56.8,93.6,124.8,45.0,0.56,1.78,2.85,3.81
139,Elite,0.18,45.5,62.5,94.0,122.0,44.8,0.65,1.5,2.8,3.72
140,Elite,0.176,54.6,63.1,95.7,124.9,45.9,0.6,1.53,2.8,3.7
141,Elite,0.152,54.4,64.9,90.3,134.4,48.2,0.57,1.56,2.8,3.75
142,Elite,0.171,43.8,59.1,94.8,137.1,43.5,0.56,1.5,2.94,3.81
143,Elite,0.151,47.5,58.7,93.2,136.6,46.8,0.57,1.5,2.98,3.83
144,Elite,0.157,44.5,62.8,94.9,127.9,45.7,0.6,1.5,2.8,3.78
145,Elite,0.125,44.3,58.4,91.8,133.4,42.7,0.58,1.5,2.8,3.83
146,Elite,0.165,40.6,64.3,103.4,124.1,48.8,0.63,1.69,2.8,3.81
147,Elite,0.128,49.1,63.6,98.9,125.9,48.0,0.59,1.5,2.95,3.8
148,Elite,0.17,47.5,59.3,100.2,137.9,46.6,0.57,1.5,2.82,3.82
149,Elite,0.167,40.8,62.5,101.8,120.3,48.5,0.61,1.5,2.8,3.81
150,Elite,0.163,44.2,62.5,97.5,121.7,48.7,0.62,1.5,2.8,3.79
151,Elite,0.122,53.6,56.0,91.3,124.2,47.1,0.57,1.5,2.95,3.81
152,Elite,0.138,43.6,64.0,98.1,120.5,48.4,0.57,1.5,3.02,3.82
153,Elite,0.136,42.2,60.1,98.8,123.6,47.0,0.55,1.5,2.8,3.86
154,Elite,0.142,47.3,63.3,101.2,131.7,46.8,0.62,1.66,2.82,3.8
155,Elite,0.125,54.8,58.2,96.5,128.4,46.2,0.62,1.76,2.85,3.78
156,Elite,0.176,43.6,64.0,91.9,137.9,47.5,0.6,1.63,2.98,3.79
157,Elite,0.153,50.1,58.9,94.3,136.3,41.6,0.63,1.5,2.8,3.76
158,Elite,0.138,51.4,55.1,95.4,126.8,48.8,0.63,1.5,2.8,3.82
159,Elite,0.144,43.6,64.1,99.7,125.2,48.7,0.61,1.5,2.8,3.82
160,Elite,0.147,50.9,55.9,98.6,127.6,40.3,0.64,1.5,2.8,3.75
161,Elite,0.156,45.5,58.2,95.3,131.8,48.3,0.57,1.5,2.8,3.84
162,Elite,0.151,49.5,64.5,104.8,125.4,41.3,0.56,1.5,2.91,3.75
163,Elite,0.175,49.5,64.5,99.1,132.5,43.4,0.58,1.69,2.8,3.73
164,Elite,0.15,48.0,60.7,93.6,128.2,47.4,0.56,1.78,2.82,3.81
165,Elite,0.18,41.4,61.3,91.5,131.0,41.6,0.6,1.5,2.8,3.76
166,Elite,0.171,52.5,59.5,92.3,128.7,48.2,0.64,1.5,2.8,3.74
167,Elite,0.133,44.8,57.9,93.7,125.9,48.3,0.55,1.5,2.94,3.86
168,Elite,0.176,42.8,58.3,92.4,139.0,45.1,0.56,1.7,2.98,3.83
169,Elite,0.127,40.6,61.7,92.8,135.3,40.1,0.6,1.8,2.86,3.82
170,Elite,0.169,48.9,62.5,94.3,122.8,42.9,0.64,1.5,2.86,3.71
171,Elite,0.143,50.2,62.9,92.6,137.4,46.2,0.58,1.6,2.9,3.79
172,Elite,0.173,40.2,62.9,103.5,129.7,49.8,0.6,1.8,2.8,3.84
173,Elite,0.172,47.7,55.9,91.2,137.9,46.3,0.55,1.5,2.8,3.82
174,Elite,0.168,43.4,59.9,97.9,136.0,42.6,0.56,1.72,2.8,3.81
175,Elite,0.167,49.7,55.6,96.2,128.5,46.3,0.65,1.5,2.8,3.78
176,Elite,0.138,42.6,60.5,104.7,120.4,45.4,0.65,1.6,2.8,3.82
177,Elite,0.125,50.4,59.4,91.7,125.4,47.8,0.55,1.68,2.8,3.82
178,Elite,0.144,45.8,63.9,96.0,130.8,41.1,0.65,1.5,2.8,3.74
179,Elite,0.13,54.1,58.5,104.5,132.7,47.6,0.61,1.5,2.86,3.82
180,Elite,0.162,42.1,56.2,103.0,125.2,45.4,0.64,1.52,2.88,3.83
181,Elite,0.141,45.1,56.4,102.3,122.8,49.6,0.6,1.5,2.87,3.87
182,Elite,0.179,41.7,62.6,93.9,136.7,43.4,0.6,1.68,2.8,3.78
183,Elite,0.158,53.9,61.2,92.6,139.7,46.3,0.6,1.5,2.8,3.76
184,Elite,0.169,53.2,56.0,100.0,130.5,49.3,0.62,1.61,2.84,3.8
185,Elite,0.128,43.9,55.8,103.9,123.4,41.0,0.56,1.5,2.98,3.85
186,Elite,0.172,49.9,62.0,98.4,125.4,49.4,0.55,1.5,2.8,3.78
187,Elite,0.175,52.3,55.7,98.6,120.4,46.9,0.58,1.5,2.91,3.77
188,Elite,0.149,48.3,63.2,94.2,138.3,40.7,0.62,1.5,2.8,3.75
189,Elite,0.156,47.9,62.1,101.5,122.4,43.0,0.57,1.71,2.8,3.76
190,Elite,0.166,43.6,55.8,92.8,131.5,47.1,0.62,1.81,2.8,3.83
191,Elite,0.13,41.4,55.8,94.9,125.5,40.7,0.65,1.5,2.8,3.82
192,Elite,0.15,53.5,64.9,96.4,131.1,45.8,0.56,1.5,2.8,3.75
193,Elite,0.144,53.5,58.7,97.6,133.0,43.5,0.62,1.5,2.8,3.76
194,Elite,0.129,49.5,58.7,93.6,136.6,46.2,0.59,1.64,2.8,3.83
195,Elite,0.142,45.1,63.1,91.7,124.1,40.5,0.64,1.5,2.8,3.73
196,Elite,0.124,45.2,64.5,99.2,120.2,48.7,0.57,1.81,2.94,3.83
197,Elite,0.122,50.9,64.9,94.3,122.7,49.7,0.62,1.5,2.97,3.78
198,Elite,0.128,53.5,62.5,98.7,138.0,49.7,0.63,1.5,2.87,3.81
199,Elite,0.178,53.3,58.8,92.3,137.5,47.5,0.64,1.5,2.8,3.75
200,Elite,0.153,51.7,55.8,97.2,131.9,41.3,0.62,1.55,2.8,3.76
201,Elite,0.178,49.6,62.8,98.0,132.0,47.6,0.6,1.5,2.8,3.76
202,Elite,0.146,41.3,60.6,90.8,133.3,40.2,0.61,1.5,2.89,3.79
203,Elite,0.139,42.4,59.2,95.0,123.5,40.2,0.64,1.53,2.92,3.78
204,Elite,0.15,53.5,64.1,92.0,138.3,43.2,0.61,1.5,2.8,3.72
205,Elite,0.146,49.1,56.1,91.0,128.4,44.9,0.55,1.5,2.96,3.81
206,Elite,0.126,40.1,59.9,104.8,127.7,47.7,0.64,1.5,2.84,3.88
207,Elite,0.158,41.5,55.1,94.8,130.4,46.8,0.62,1.5,2.8,3.85
208,Elite,0.133,50.0,59.7,102.1,120.9,44.5,0.62,1.56,2.8,3.78
209,Elite,0.157,40.1,55.6,93.8,123.3,42.7,0.57,1.6,2.99,3.83
210,Elite,0.159,42.4,56.2,100.2,134.8,50.0,0.62,1.5,3.05,3.88
211,Elite,0.129,48.2,56.2,101.4,121.7,44.3,0.59,1.81,2.97,3.82
212,Elite,0.124,50.4,61.5,98.9,132.1,44.5,0.62,1.5,2.8,3.79
213,Elite,0.167,49.8,62.5,97.1,124.9,41.6,0.56,1.5,2.8,3.73
214,Elite,0.148,43.4,60.8,96.2,127.8,47.9,0.62,1.5,2.9,3.82
215,Elite,0.123,50.7,64.6,95.2,125.8,46.9,0.65,1.5,2.8,3.76
216,Elite,0.18,43.6,58.7,103.9,127.1,42.2,0.55,1.55,2.8,3.8
217,Elite,0.123,44.9,57.9,102.5,134.4,40.8,0.65,1.55,3.0,3.82
218,Elite,0.162,51.2,63.7,104.5,125.9,46.8,0.59,1.7,2.8,3.76
219,Elite,0.179,49.7,57.2,91.9,131.3,46.5,0.64,1.5,2.8,3.76
220,Elite,0.134,52.7,64.6,101.0,129.5,42.7,0.63,1.52,2.8,3.73
221,Elite,0.129,49.9,55.1,104.1,133.3,49.5,0.61,1.61,2.93,3.88
222,Elite,0.127,48.5,64.7,92.7,138.7,41.5,0.62,1.5,2.8,3.76
223,Elite,0.138,41.4,55.4,91.0,134.7,44.3,0.64,1.5,2.8,3.85
224,Elite,0.126,45.5,63.9,101.1,124.3,49.4,0.59,1.69,2.8,3.84
225,Elite,0.162,44.0,60.3,98.6,120.6,44.2,0.58,1.5,2.8,3.79
226,Elite,0.124,43.7,64.9,102.6,125.2,46.4,0.62,1.5,2.8,3.82
227,Elite,0.151,54.6,55.7,92.1,131.9,44.0,0.63,1.7,2.8,3.75
228,Elite,0.18,45.9,60.5,101.9,121.0,42.7,0.63,1.67,2.8,3.74
229,Elite,0.169,53.4,64.7,93.0,129.9,49.8,0.63,1.6,2.8,3.73
230,Elite,0.157,49.5,60.2,92.5,131.9,44.1,0.59,1.5,2.88,3.77
231,Elite,0.138,51.9,61.3,92.5,126.7,48.9,0.63,1.65,2.8,3.77
232,Elite,0.157,47.5,62.0,102.2,135.4,42.3,0.56,1.5,2.8,3.79
233,Elite,0.152,48.7,59.5,100.0,122.1,42.1,0.6,1.5,2.8,3.76
234,Elite,0.146,47.4,61.3,97.8,121.5,40.3,0.55,1.5,2.8,3.76
235,Elite,0.128,42.9,60.8,95.4,134.6,46.5,0.58,1.66,3.05,3.86
236,Elite,0.173,50.8,64.0,103.2,129.9,43.7,0.59,1.5,2.8,3.73
237,Elite,0.147,44.2,55.5,95.9,133.8,48.6,0.59,1.5,3.05,3.88
238,Elite,0.132,40.4,57.8,102.2,128.7,44.7,0.62,1.5,2.8,3.87
239,Elite,0.142,49.7,64.5,96.6,124.9,49.7,0.59,1.5,2.8,3.79
240,Elite,0.145,42.7,63.9,95.7,136.4,41.9,0.59,1.5,2.83,3.8
241,Elite,0.17,54.1,59.6,96.9,136.0,48.7,0.57,1.5,2.8,3.78
242,Elite,0.164,54.3,61.2,94.5,133.9,47.8,0.59,1.5,2.8,3.76
243,Elite,0.166,53.7,57.8,101.2,125.4,47.7,0.57,1.5,2.8,3.78
244,Elite,0.121,45.6,56.9,97.5,131.8,48.4,0.56,1.85,2.86,3.89
245,Elite,0.145,40.2,59.6,93.5,127.2,47.6,0.61,1.84,2.84,3.85
246,Elite,0.149,53.9,58.5,103.5,121.8,46.3,0.62,1.6,2.8,3.77
247,Elite,0.121,46.4,60.8,95.8,138.3,41.3,0.61,1.5,2.88,3.81
248,Elite,0.136,54.5,55.8,98.2,122.7,40.3,0.6,1.5,2.89,3.75
249,Elite,0.166,54.5,64.7,103.6,139.0,49.2,0.59,1.5,2.8,3.77
250,Elite,0.128,52.8,64.9,99.4,128.9,46.2,0.64,1.5,2.8,3.75
251,Average,0.217,60.4,63.9,101.9,149.8,53.9,0.5,2.05,3.78,4.77
252,Average,0.188,57.2,63.7,118.2,147.9,56.7,0.52,2.13,3.8,4.86
253,Average,0.222,55.1,73.6,113.4,142.2,52.6,0.44,2.3,3.78,4.75
254,Average,0.188,57.4,63.7,116.6,153.7,53.5,0.49,2.3,3.8,4.85
255,Average,0.204,64.8,64.1,117.6,131.0,59.2,0.49,2.3,3.8,4.79
256,Average,0.19,63.0,71.4,111.4,128.3,52.9,0.52,2.3,3.57,4.7
257,Average,0.228,64.6,66.7,110.3,150.6,54.7,0.54,2.3,3.43,4.73
258,Average,0.194,59.9,71.7,108.6,138.2,58.9,0.4,2.3,3.77,4.8
259,Average,0.207,56.1,61.0,106.3,150.4,57.1,0.5,2.3,3.8,4.85
260,Average,0.243,60.5,67.3,108.7,151.8,50.6,0.41,2.08,3.74,4.74
261,Average,0.194,59.5,60.5,115.5,126.9,51.5,0.48,2.3,3.8,4.79
262,Average,0.216,63.4,60.9,112.0,151.5,50.1,0.44,2.19,3.54,4.78
263,Average,0.209,56.0,73.6,117.9,138.4,56.3,0.45,2.3,3.78,4.79
264,Average,0.181,59.9,62.1,108.9,140.3,54.5,0.45,2.3,3.8,4.83
265,Average,0.235,56.5,68.0,112.1,143.8,51.3,0.49,2.3,3.61,4.74
266,Average,0.185,58.2,66.2,112.6,152.8,59.6,0.45,2.3,3.8,4.88
267,Average,0.213,62.4,65.2,111.8,125.6,55.3,0.51,2.25,3.61,4.73
268,Average,0.219,59.8,73.5,114.1,139.3,52.4,0.46,2.3,3.8,4.72
269,Average,0.224,58.8,60.3,104.7,145.6,55.0,0.41,2.3,3.61,4.82
270,Average,0.228,58.9,70.0,110.2,146.7,56.8,0.52,2.3,3.48,4.75
271,Average,0.198,59.6,74.5,102.1,145.8,50.8,0.44,2.28,3.6,4.72
272,Average,0.181,62.9,68.4,107.7,129.0,52.7,0.46,2.02,3.46,4.74
273,Average,0.231,63.9,74.1,109.8,134.0,58.1,0.5,2.3,3.8,4.69
274,Average,0.217,64.6,60.8,113.0,135.8,54.6,0.45,2.19,3.74,4.78
275,Average,0.239,62.9,66.3,119.0,149.1,55.5,0.41,2.26,3.69,4.79
276,Average,0.237,58.2,63.9,112.0,133.4,54.3,0.46,2.01,3.67,4.76
277,Average,0.239,61.9,71.0,114.9,131.3,50.4,0.54,1.99,3.65,4.65
278,Average,0.214,59.4,74.7,110.1,153.7,51.7,0.5,2.27,3.75,4.72
279,Average,0.203,57.5,63.8,112.7,125.3,54.5,0.5,2.25,3.8,4.78
280,Average,0.235,63.4,69.8,101.4,154.9,52.1,0.49,1.98,3.7,4.7
281,Average,0.212,55.4,63.0,105.1,145.3,50.5,0.43,2.3,3.8,4.8
282,Average,0.193,64.0,68.5,107.2,149.9,58.4,0.46,2.3,3.63,4.8
283,Average,0.24,59.6,67.0,109.4,133.8,59.8,0.51,2.3,3.8,4.75
284,Average,0.242,61.4,74.6,100.9,125.4,57.9,0.42,2.01,3.8,4.67
285,Average,0.213,61.6,69.1,102.8,147.1,58.5,0.44,2.14,3.7,4.78
286,Average,0.185,64.0,65.2,105.5,150.0,52.4,0.44,2.3,3.69,4.79
287,Average,0.207,61.4,61.7,119.4,147.2,59.6,0.46,2.3,3.63,4.87
288,Average,0.236,61.1,62.3,106.6,129.3,52.0,0.55,2.3,3.6,4.69
289,Average,0.243,55.7,63.4,109.6,147.6,59.5,0.41,2.3,3.8,4.85
290,Average,0.194,60.2,63.8,103.9,148.1,59.9,0.48,2.06,3.64,4.84
291,Average,0.185,56.5,72.8,112.2,144.8,57.1,0.43,2.3,3.75,4.82
292,Average,0.241,62.4,68.4,105.6,148.0,59.8,0.55,2.3,3.8,4.74
293,Average,0.207,60.1,67.9,104.1,150.4,55.7,0.42,2.3,3.72,4.8
294,Average,0.218,61.8,61.7,110.3,143.4,52.6,0.46,2.19,3.53,4.78
295,Average,0.248,55.4,72.9,100.1,127.7,54.4,0.51,2.3,3.67,4.67
296,Average,0.185,55.8,70.8,100.2,139.6,55.9,0.51,2.24,3.8,4.77
297,Average,0.225,62.2,61.0,104.4,127.3,50.7,0.46,2.29,3.8,4.72
298,Average,0.185,55.7,70.6,100.7,137.2,56.2,0.45,2.3,3.8,4.79
299,Average,0.206,55.7,68.2,102.2,137.2,59.8,0.46,2.3,3.79,4.81
300,Average,0.236,55.1,61.2,106.8,127.0,51.9,0.44,2.3,3.67,4.77
301,Average,0.21,64.6,66.9,116.1,135.5,57.9,0.43,2.3,3.8,4.78
302,Average,0.25,62.4,67.3,111.4,128.3,59.1,0.47,1.97,3.45,4.72
